ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
1000044,978-5-17-114038-0,Фицджеральд Ф. С.,ASE000000000842319,,27.07.2019,260 гр.,,2019,,АСТ,,,1000044,Москва,,Великий Гэтсби = The Great Gatsby. Уникальная методика обучения языку В. Ратке. Фицджеральд Ф. С.,True,/image/book/664/w259/i664133.jpg,,,,,200x137x24,0,,320,Мягкая обложка,2000 экз.,,60х84 1/16,,,,английский
1000435,978-5-17-115705-0,Достоевский Ф. М.,ASE000000000843846,,30.07.2019,240 гр.,,2019,,АСТ,,,1000435,Москва,,Чужая жена и муж под кроватью. Достоевский Ф. М.,True,/image/book/664/w259/i664507.jpg,,,,,180x115x27,0,,384,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
1000624,978-5-905909-26-9,Стругацкий А. Н.,978-5-905909-26-9,,31.07.2019,490 гр.,,2019,,Издательство Сидорович,,,1000624,СПб,,"Полное собрание сочинений. В 33 томах. Том 16. 1970. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/664/w259/i664724.jpg,,,,,208x132x24,0,,384,Твердый переплет (ткань),350 экз.,,84х108 1/32,,,,русский
1000625,978-5-905909-27-6,Стругацкий А. Н.,978-5-905909-27-6,,31.07.2019,760 гр.,,2019,,Издательство Сидорович,,,1000625,СПб,,"Полное собрание сочинений. В 33 томах. Том 17. 1971. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/664/w259/i664723.jpg,,,,,208x132x38,0,,624,Твердый переплет (ткань),350 экз.,,84х108 1/32,,,,русский
1002585,978-5-17-117177-3,Лукьяненко С. В.,ASE000000000845549,,15.08.2019,655 гр.,,2019,,АСТ,,,1002585,Москва,,Звезды — холодные игрушки. Звездная тень. Лукьяненко С. В.,True,/image/book/666/w259/i666647.jpg,,,,,218x143x37,0,,672,Твердый переплет,2000 экз.,,60х90 1/16,,,,русский
1002955,978-5-04-100577-1,Фицджеральд Ф. С.,ITD000000000950861,,16.08.2019,255 гр.,,2019,,Эксмо,,,1002955,Москва,,Ночь нежна. Фицджеральд Ф. С.,True,/image/book/666/w259/i666887.jpg,,,Ильин С.,,181x115x21,0,,512,Мягкая обложка,3000 экз.,,76х100 1/32,,,английский,русский
1003154,978-5-17-116874-2,Стругацкий А. Н.,ASE000000000845259,,17.08.2019,710 гр.,,2019,,АСТ,,,1003154,Москва,,"Собрание сочинений. 1979-1984. Жук в муравейнике; Хромая судьба; Волны гасят ветер. Том 8. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/667/w259/i667052.jpg,,,,,215x145x44,0,,672,Твердый переплет,2500 экз.,,60х90 1/16,,,,русский
1003747,978-5-17-117175-9,Лукьяненко С. В.,ASE000000000845548,,22.08.2019,500 гр.,,2019,,АСТ,,,1003747,Москва,,Лорд с планеты Земля. Лукьяненко С. В.,True,/image/book/667/w259/i667817.jpg,,,,,215x145x29,0,,480,Твердый переплет,2000 экз.,,60х90 1/16,,,,русский
1003888,978-5-17-118948-8,Фрай М.,ASE000000000845246,,23.08.2019,325 гр.,,2019,,АСТ,,,1003888,Москва,,Неизвестным для меня способом. Фрай М.,True,/image/book/667/w259/i667906.jpg,,,,,200x130x20,0,,288,Твердый переплет,7000 экз.,,84х108 1/32,,,,русский
1004205,978-5-9905833-4-4,Достоевский Ф. М.,,,27.08.2019,227 гр.,16 +,2015,,Искателькнига,,,1004205,Москва,,Игрок. Достоевский Ф. М.,False,/image/book/668/w259/i668202.jpg,,,,,215x145,0,,126,Твердый переплет,3000 экз.,,60х90 1/16,,,,русский
1004307,978-5-17-116873-5,Фицджеральд Ф. С.,ASE000000000845258,,27.08.2019,100 гр.,,2019,,АСТ,,,1004307,Москва,,Великий Гэтсби / The Great Gatsby. Уровень 4. Фицджеральд Ф. С.,True,/image/book/668/w259/i668315.jpg,,,,,200x130x7,0,,128,Мягкая обложка,3000 экз.,,84х108 1/32,,,,итальянский
1004662,978-5-17-118505-3,Лукьяненко С. В.,ASE000000000846843,,29.08.2019,315 гр.,,2019,,АСТ,,,1004662,Москва,,Сумеречный Дозор. Лукьяненко С. В.,True,/image/book/668/w259/i668696.jpg,,,,,200x130x30,0,,400,Твердый переплет,3000 экз.,,84х108 1/32,,,,русский
1006464,978-5-17-118366-0,Глуховский Д. А.,ASE000000000846758,,09.09.2019,575 гр.,,2019,,АСТ,,,1006464,Москва,,Будущее. Глуховский Д. А.,True,/image/book/670/w259/i670272.jpg,,,,,215x170x30,0,,480,Твердый переплет,3000 экз.,,70х90 1/16,,,,русский
1006604,4607031771372,Стругацкий А. Н.,93251,,09.09.2019,300 гр.,,,2019,,,,1006604,,Москва,"Собрание сочинений. Том 1. 12 CD: Мр3. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/670/w259/i670378.jpg,,,,Ардис,157x157x25,0,,,Коробка,,,,,,,русский
1006605,4607031771389,Стругацкий А. Н.,93253,,09.09.2019,300 гр.,,,2019,,,,1006605,,Москва,"Собрание сочинений. Том 2. 12 CD: Мр3. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/670/w259/i670377.jpg,,,,Ардис,157x157x25,0,,,Коробка,,,,,,,русский
1006768,978-5-17-116868-1,Фицджеральд Ф. С.,ASE000000000845254,,10.09.2019,215 гр.,,2019,,АСТ,,,1006768,Москва,,По эту сторону рая. Фицджеральд Ф. С.,True,/image/book/670/w259/i670786.jpg,,,Лорие М.,,180x115x25,0,,352,Мягкая обложка,5000 экз.,,76х100 1/32,,,английский,русский
1007209,978-5-17-118524-4,Лукьяненко С. В.,ASE000000000846848,,12.09.2019,290 гр.,,2019,,АСТ,,,1007209,Москва,,Последний Дозор. Лукьяненко С. В.,True,/image/book/670/w259/i670888.jpg,,,,,200x130x27,0,,368,Твердый переплет,3000 экз.,,84х108 1/32,,,,русский
1007342,978-5-389-08828-3,Фицджеральд Ф. С.,А0000015751,,13.09.2019,670 гр.,,2019,,КоЛибри; Азбука-Аттикус,,,1007342,Москва,,Заметки о моем поколении. Фицджеральд Ф. С.,True,/image/book/670/w259/i670918.jpg,,,,,215x145x28,5,,544,Твердый переплет,3000 экз.,,60х90 1/16,,,английский,русский
1007343,978-5-389-08828-3,Фицджеральд Ф. С.,А0000015751,,13.09.2019,670 гр.,,2019,,КоЛибри; Азбука-Аттикус,,,1007343,Москва,,Заметки о моем поколении. Фицджеральд Ф. С.,True,/image/book/670/w259/i670918.jpg,,,,,215x145x28,0,,544,Твердый переплет,3000 экз.,,60х90 1/16,,,английский,русский
1008649,978-5-699-80076-6,Роллинс Дж.,ITD000000000604796,,20.09.2019,225 гр.,,2019,,Эксмо,,,1008649,Москва,,Алтарь Эдема. Роллинс Дж.,True,/image/book/672/w259/i672318.jpg,,,Филонов А. В.,,165x112x20,0,,512,Мягкая обложка,2000 экз.,,70х100 1/32,,,английский,русский
1009580,978-5-17-118480-3,Лукьяненко С. В.,ASE000000000846855,,26.09.2019,295 гр.,,2019,,АСТ,,,1009580,Москва,,Новый Дозор. Лукьяненко С. В.,True,/image/book/673/w259/i673070.jpg,,,,,200x130x27,0,,384,Твердый переплет,3000 экз.,,84х108 1/32,,,,русский
1010126,978-5-00111-588-5,Хантер Э.,238119,,30.09.2019,330 гр.,11 +,2020,,Абрис,Насыров Л.,,1010126,Москва,,Дымная гора. Хантер Э.,True,/image/book/673/w259/i673483.jpg,,,Максимова В.,,200x130x16,0,,320,Твердый переплет,3000 экз.,,84х108 1/32,,,английский,русский
1011243,978-5-389-13319-8,Роулинг Дж. К.,А0000014072,,07.10.2019,2090 гр.,14 +,2019,,Махаон; Азбука-Аттикус,Кей Джим,,1011243,Москва,,Гарри Поттер и Кубок Огня.,True,/image/book/674/w259/i674488.jpg,,,Спивак М.,,290x247x42,5,,452,Твердый переплет+суперобложка,12000 экз.,,60х100 1/8,,,английский,русский
1011244,978-5-389-13319-8,Роулинг Дж. К.,А0000014072,,07.10.2019,2090 гр.,14 +,2019,,Махаон; Азбука-Аттикус,Кей Джим,,1011244,Москва,,Гарри Поттер и Кубок Огня.,True,/image/book/674/w259/i674488.jpg,,,Спивак М.,,290x247x42,0,,452,Твердый переплет+суперобложка,12000 экз.,,60х100 1/8,,,английский,русский
1011948,978-5-17-118843-6,Стругацкий А. Н.,ASE000000000847243,,10.10.2019,540 гр.,,2019,,АСТ,,,1011948,Москва,,"Собрание сочинений. Том 9. 1985—1990. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/675/w259/i675133.jpg,,,,,215x145x35,0,,496,Твердый переплет,1500 экз.,,60х90 1/16,,,,русский
1011949,978-5-17-118536-7,Лукьяненко С. В.,ASE000000000846858,,10.10.2019,290 гр.,,2019,,АСТ,,,1011949,Москва,,Шестой Дозор. Лукьяненко С. В.,True,/image/book/675/w259/i675054.jpg,,,,,206x133x21,0,,352,Твердый переплет,3000 экз.,,84х108 1/32,,,,русский
1012069,978-5-17-118864-1,Стругацкий А. Н.,ASE000000000847263,,11.10.2019,295 гр.,,2019,,АСТ,,,1012069,Москва,,"Понедельник начинается в субботу. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/675/w259/i675187.jpg,,,,,200x130x24,5,,288,Твердый переплет,5000 экз.,,84х108 1/32,,,,русский
1012072,978-5-17-118639-5,Стругацкий А. Н.,ASE000000000847008,,11.10.2019,250 гр.,,2019,,АСТ,,,1012072,Москва,,"Трудно быть богом. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/675/w259/i675184.jpg,,,,,200x130x20,0,,224,Твердый переплет,4000 экз.,,84х108 1/32,,,,русский
1012089,978-5-699-93016-6,Достоевский Ф. М.,ITD000000000832998,,11.10.2019,425 гр.,,2019,,Эксмо,,,1012089,Москва,,Преступление и наказание. Достоевский Ф. М.,True,/image/book/675/w259/i675194.jpg,,,,,200x130x28,5,,592,Твердый переплет,7000 экз.,,84х108 1/32,,,,русский
1012300,978-5-00111-558-8,Хантер Э.,240345,,14.10.2019,375 гр.,11 +,2020,,Абрис,Насыров Л.,,1012300,Москва,,Нерассказанные истории. Сердце Пестролистой. Хантер Э.,True,/image/book/675/w259/i675354.jpg,,,Максимова В. А.,,200x130x21,4,,381,Твердый переплет,6000 экз.,,84х108 1/32,,,английский,русский
1013352,978-5-17-119814-5,Лукьяненко С. В.,ASE000000000848220,,23.10.2019,270 гр.,,2019,,АСТ,,,1013352,Москва,,"Время для мага. Лучшая фантастика — 2020. Лукьяненко С. В., Некрасов Ю., Белаш А.",True,/image/book/677/w259/i677391.jpg,,,,,207x133x25,0,,352,Твердый переплет,3000 экз.,,,,,,русский
1017201,978-5-389-17026-1,Роулинг Дж. К.,А0000018894,,11.11.2019,610 гр.,,2019,,Махаон; Азбука-Аттикус,,,1017201,Москва,,Гарри Поттер и узник Азкабана.,True,/image/book/680/w259/i680306.jpg,,,Спивак М.,,208x133x28,0,,544,Твердый переплет с окрашенным обрезом+суперобложка,3000 экз.,,84х108 1/32,,,английский,русский
1017758,978-5-17-114144-8,Фрай М.,ASE000000000836298,,14.11.2019,430 гр.,,2019,,АСТ,,,1017758,Москва,,Так берегись. Фрай М.,True,/image/book/678/w259/i678909.jpg,,,,,200x130x28,0,Новинка;Бестселлер,480,Твердый переплет,27000 экз.,,84х108 1/32,,,,русский
1018117,978-5-17-108279-6,Стругацкий А. Н.,ASE000000000836262,,15.11.2019,630 гр.,,2018,,АСТ,,,1018117,Москва,,"Собрание сочинений. Том 1. 1955-1959. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/679/w259/i679367.jpg,,,,,215x145x40,0,,592,Твердый переплет,3500 экз.,,60х90 1/16,,,,русский
276600,4607031752135,Достоевский Ф. М.,50819,,22.04.2005,100 гр.,,,2005,,,,276600,,Москва,Преступление и наказание. 2 CD: mp3. Достоевский Ф. М.,True,/image/book/141/w259/i141427.jpg,,,,Ардис,,0,,,,,,,,,,русский
406485,978-5-7406-0915-7,Достоевский Ф. М.,978-5-7406-0863-9,,02.04.2008,4860 гр.,,2008,,Янтарный сказ,,,406485,Калининград,,Собрание сочинений: В 4 томах. Достоевский Ф. М.,True,/image/book/245/w259/i245127.jpg,,,,,215x145,0,,4372,Твердый переплет (дутый) с золотым обрезом,500 экз.,,60х90 1/16,,,,русский
423362,978-5-699-30026-6,Достоевский Ф. М.,430000000000003174,,15.08.2008,610 гр.,,2009,,Эксмо,,,423362,Москва,,Идиот. Достоевский Ф. М.,True,/image/book/257/w259/i257608.jpg,,,,,200x130,0,,800,Твердый переплет+суперобложка,4000 экз.,,84х108 1/32,,,,русский
438062,"978-5-7827-0112-3,978-5-7827-0114-7",Достоевский Ф. М.,,,24.11.2008,1990 гр.,,2008,,,,,438062,Москва,,Преступление и наказание. В 2 томах,True,/image/book/268/w259/i268485.jpg,,,,,207x140,0,,1094,Твердый переплет с золотым обрезом,1500 экз.,,140х207 мм,,,,русский
462213,4607031755907,Достоевский Ф. М.,67502,,25.05.2009,60 гр.,,,2009,,,,462213,,Москва,Идиот. Бедные люди. 1 CD: mp3. Достоевский Ф. М.,True,/image/book/285/w259/i285257.jpg,,,,Ардис,,0,,,,,,,,,,русский
528178,978-5-389-01212-7,Достоевский Ф. М.,00000016946,,01.10.2010,165 гр.,,2014,,Азбука; Азбука-Аттикус,,,528178,СПб,,Белые ночи. Достоевский Ф. М.,True,/image/book/330/w259/i330613.jpg,,,,,180x115,0,,320,Мягкая обложка,3000 экз.,,76х100 1/32,,,,русский
534806,978-5-389-01367-4,Достоевский Ф. М.,00000017170,,15.11.2010,180 гр.,,2011,,Азбука; Азбука-Аттикус,,,534806,СПб,,Чужая жена и муж под кроватью. Достоевский Ф. М.,True,/image/book/335/w259/i335093.jpg,,,,,180x115,0,,368,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
537526,978-5-93898-307-6,Достоевский Ф. М.,,Мелованная,30.11.2010,1050 гр.,,2010,,,,Непомнящий Б. Л.,537526,СПб,,Записки из мертвого дома,True,/image/book/336/w259/i336786.jpg,Золотой,,,,240x170,0,,504,Кожаный переплет,1200 экз.,Углубленное тиснение (красочное плоскоуглубленное изображение),70х100 1/16,Вставной,,,русский
539813,978-5-389-01465-7,Достоевский Ф. М.,00000017376,,13.12.2010,115 гр.,,2013,,Азбука; Азбука-Аттикус,,,539813,СПб,,Игрок. Достоевский Ф. М.,True,/image/book/338/w259/i338405.jpg,,,,,180x115,0,,224,Мягкая обложка,3000 экз.,,76х100 1/32,,,,русский
